"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C2","1","22uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C3,NC2,NC20,NC21","4","180pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"D1","1","BZV55-C7V5","","","","Diode_SMD:D_MiniMELF_Handsoldering","~"
"J2","1","Motor","","","","Connector_Molex:Molex_PicoBlade_53398-0271_1x02-1MP_P1.25mm_Vertical","~"
"J3","1","Usb_Pwr","","","","Connector_Molex:Molex_PicoBlade_53398-0271_1x02-1MP_P1.25mm_Vertical","~"
"J4","1","Key_Sw","","","","Connector_Molex:Molex_PicoBlade_53398-0271_1x02-1MP_P1.25mm_Vertical","~"
"J5","1","DND_sw","","","","Connector_Molex:Molex_PicoBlade_53398-0271_1x02-1MP_P1.25mm_Vertical","~"
"J6","1","Bat_Pwr","","","","Connector_Molex:Molex_PicoBlade_53398-0271_1x02-1MP_P1.25mm_Vertical","~"
"J7","1","Servo","","","","","~"
"L1","1","0.47uH","","","","Project Footprints:INDC2016X120N",""
"LS1","1","PKLCS1212E4001","","","","Buzzer_Beeper:Buzzer_Mallory_AST1240MLQ","~"
"NC5,NC6,NC26,NC27","4","100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"NC16,NC17,NC18,NC19","4","15pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"NC22,NC23","2","10pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"NC24,NC25","2","47pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"NL4,NL5","2","22uH","","","","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"NT1","1","CLK","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"NT2","1","MO","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"NT3","1","MI","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"NT4","1","DA","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"NT5","1","3V3","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"NT6","1","GND","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"NY1","1","27M12","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","~"
"Q1,Q2,Q4,Q5","4","Si2323","","","","Package_TO_SOT_SMD:SOT-23","http://www.vishay.com/docs/66709/si2319cd.pdf"
"Q3,Q6","2","AO3400A","","","","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf"
"R1,R2","2","1K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R3,R5","2","100k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R4","1","560k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R6","1","1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R7,R8,R9","3","10K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R10","1","820R1","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R11","1","5K1","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R12,R13","2","300","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"U1","1","ESP32-C6-WROOM-1","","","","PCM_Espressif:ESP32-C6-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-c6-wroom-1_wroom-1u_datasheet_en.pdf"
"U2,U4","2","L9110S","","","","Package_SO:SOP-8_3.9x4.9mm_P1.27mm",""
"U3","1","MFRC522{slash}RC522","","","","Package_QFP:RC522 RFID NFC QFN50P500X500X100-33N",""
"U15","1","TPS63802DLAR","","","","Project Footprints:TPS63802DLAR",""
